epoch,train_loss,train_acc,val_acc
1,4.144816875457764,0.45963865518569946,0.4336722493171692
2,2.5731215476989746,0.5142784714698792,0.5446826815605164
3,2.2208619117736816,0.5898329615592957,0.5969998836517334
4,1.9700946807861328,0.6045897603034973,0.6001543402671814
5,1.8912500143051147,0.6329158544540405,0.6415987014770508
6,1.7832189798355103,0.6409649848937988,0.6503909230232239
7,1.7407618761062622,0.6546552181243896,0.6595187783241272
8,1.6858056783676147,0.6596364378929138,0.6553575396537781
9,1.657017707824707,0.666498064994812,0.6651565432548523
10,1.619981288909912,0.6657503247261047,0.6702909469604492
11,1.601658582687378,0.670852541923523,0.6725728511810303
12,1.5678448677062988,0.6777471303939819,0.6713647842407227
13,1.5492609739303589,0.6793745160102844,0.6746199131011963
14,1.5482617616653442,0.6820575594902039,0.6806939840316772
15,1.5164083242416382,0.6853014230728149,0.6835464239120483
16,1.5041707754135132,0.6866649985313416,0.6833115220069885
17,1.4907852411270142,0.6879185438156128,0.6853585243225098
18,1.4842948913574219,0.6917561888694763,0.6866673231124878
19,1.4584122896194458,0.6926908493041992,0.686432421207428
20,1.4492027759552002,0.6939883828163147,0.6886137127876282
21,1.4431135654449463,0.6961986422538757,0.6936138272285461
22,1.4269165992736816,0.6958907246589661,0.6971374750137329
23,1.4340001344680786,0.6965395212173462,0.6971374750137329
24,1.417144536972046,0.6977601051330566,0.6951910853385925
25,1.4071874618530273,0.7004871368408203,0.692741334438324
26,1.4016276597976685,0.7005420923233032,0.6922379732131958
27,1.39591383934021,0.7024224400520325,0.6972381472587585
28,1.380667805671692,0.7021365165710449,0.6989160180091858
29,1.384102702140808,0.7032801508903503,0.7002919316291809
30,1.376948595046997,0.7040718793869019,0.699251651763916
31,1.3720955848693848,0.7029832601547241,0.6950904130935669
32,1.366938829421997,0.7031481862068176,0.6943857073783875
33,1.3595335483551025,0.7036430239677429,0.69905024766922
34,1.3510290384292603,0.7044457197189331,0.7008959650993347
35,1.3481547832489014,0.7052154541015625,0.7013322114944458
36,1.3459181785583496,0.7058862447738647,0.69962078332901
37,1.3479665517807007,0.7068098783493042,0.7006275057792664
38,1.3401683568954468,0.7068318724632263,0.7011644244194031
39,1.342761754989624,0.7068428993225098,0.7011308670043945
40,1.3287042379379272,0.707139790058136,0.7027081251144409
41,1.3309792280197144,0.7083933353424072,0.7031779289245605
42,1.3318194150924683,0.7095589637756348,0.7046209573745728
43,1.3289741277694702,0.7097348570823669,0.7048558592796326
44,1.3192954063415527,0.7098448276519775,0.7030436992645264
45,1.317061185836792,0.709679901599884,0.7011644244194031
46,1.3181326389312744,0.7094709873199463,0.7026074528694153
47,1.3170950412750244,0.7100537419319153,0.7045873999595642
48,1.3165695667266846,0.7105485796928406,0.7044195532798767
49,1.312270998954773,0.7112083435058594,0.703144371509552
50,1.315159559249878,0.7115602493286133,0.7038155198097229
51,1.3041132688522339,0.7114942669868469,0.7053927779197693
52,1.3031961917877197,0.7111533880233765,0.7057619094848633
53,1.3070813417434692,0.7114062905311584,0.7057619094848633
54,1.3094803094863892,0.711692214012146,0.7045202851295471
55,1.2992295026779175,0.7125058770179749,0.7044867277145386
56,1.2942146062850952,0.7127038240432739,0.7065001726150513
57,1.2977304458618164,0.7127478122711182,0.7071378231048584
58,1.296044111251831,0.7131106853485107,0.7063995003700256
59,1.2960530519485474,0.7130007147789001,0.7058961391448975
60,1.298913836479187,0.7133415937423706,0.7064666152000427
61,1.288718819618225,0.713858425617218,0.7061645984649658
62,1.2909830808639526,0.7143862247467041,0.706298828125
63,1.283618688583374,0.7150130271911621,0.707238495349884
64,1.2883151769638062,0.7147930860519409,0.7082116603851318
65,1.284822702407837,0.7146391272544861,0.7081781029701233
66,1.285102128982544,0.7142212986946106,0.7067350745201111
67,1.2828378677368164,0.7147271037101746,0.7067686319351196
68,1.2861955165863037,0.7147161364555359,0.7080103158950806
69,1.2837986946105957,0.7146831154823303,0.7095875144004822
70,1.280241847038269,0.7153759002685547,0.7092854976654053
71,1.275221824645996,0.7155628204345703,0.7071713805198669
72,1.2764735221862793,0.7163985371589661,0.7076411843299866
73,1.2786035537719727,0.7163655161857605,0.7084801197052002
74,1.2810020446777344,0.7165634632110596,0.7081781029701233
75,1.2747485637664795,0.716321587562561,0.7078425288200378
76,1.275800108909607,0.7168823480606079,0.7086143493652344
77,1.270062804222107,0.7172562479972839,0.7083123326301575
78,1.2733581066131592,0.7170143127441406,0.707976758480072
79,1.2701388597488403,0.7166734337806702,0.7088492512702942
80,1.2701009511947632,0.7164425253868103,0.709084153175354
81,1.2663917541503906,0.7171242833137512,0.7091177105903625
82,1.2720507383346558,0.7177950143814087,0.7084465622901917
83,1.2665249109268188,0.7178390026092529,0.7081781029701233
84,1.2662677764892578,0.7171792387962341,0.709084153175354
85,1.265316367149353,0.7172122597694397,0.7096881866455078
86,1.263964056968689,0.7183338403701782,0.7095203995704651
87,1.2612119913101196,0.7195104360580444,0.7095539569854736
88,1.266028881072998,0.7191365957260132,0.7104600667953491
89,1.259523630142212,0.7177290916442871,0.7098560333251953
90,1.2647782564163208,0.7177400588989258,0.7099902629852295
91,1.2658931016921997,0.7183558344841003,0.7098560333251953
92,1.2560855150222778,0.7195324301719666,0.7095875144004822
93,1.2571593523025513,0.7192245125770569,0.7094197273254395
94,1.2566523551940918,0.7189496159553528,0.7098224759101868
95,1.2650864124298096,0.7190815806388855,0.7108627557754517
96,1.2547334432601929,0.7197303771972656,0.709956705570221
97,1.2582296133041382,0.7195214629173279,0.7082787752151489
98,1.2578470706939697,0.7196424007415771,0.7093190550804138
99,1.2556805610656738,0.718916654586792,0.7104265093803406
100,1.2564897537231445,0.7192245125770569,0.7107285261154175
101,1.251564383506775,0.7196753621101379,0.7091512680053711
102,1.2567901611328125,0.7203571200370789,0.7088156938552856
103,1.254583477973938,0.7199832797050476,0.7091848254203796
104,1.2572957277297974,0.7204670906066895,0.7092519402503967
105,1.2457376718521118,0.7202141880989075,0.7110976576805115
106,1.2501945495605469,0.7196973562240601,0.7111983299255371
107,1.2536810636520386,0.7202692031860352,0.7103593945503235
108,1.2466145753860474,0.7205110788345337,0.7106949687004089
109,1.2471909523010254,0.7209729552268982,0.7100909352302551
110,1.2510496377944946,0.7207970023155212,0.7103258371353149
111,1.2463222742080688,0.7208519577980042,0.7105271816253662
112,1.2464450597763062,0.7216767072677612,0.7109969854354858
113,1.2437312602996826,0.7214787602424622,0.7103593945503235
114,1.2418549060821533,0.721082866191864,0.7105271816253662
115,1.2460434436798096,0.7211928367614746,0.7112654447555542
116,1.242213487625122,0.7210608720779419,0.7110976576805115
117,1.2426592111587524,0.7226553559303284,0.7089834809303284
118,1.2441740036010742,0.7224903702735901,0.7117016911506653
119,1.2468633651733398,0.7206870317459106,0.712440013885498
120,1.2469916343688965,0.7226553559303284,0.7089834809303284
121,1.241104245185852,0.7227542996406555,0.7108291983604431
122,1.246744155883789,0.7220505475997925,0.7109969854354858
123,1.243931531906128,0.7218745946884155,0.710392951965332
124,1.2422696352005005,0.7219735980033875,0.712440013885498
125,1.2425864934921265,0.721885621547699,0.7123728394508362
126,1.237415075302124,0.721885621547699,0.7089499235153198
127,1.240450382232666,0.7232051491737366,0.7115339040756226
